Day;Animals;Plants;Parasites;FreeFields;AvgEnergy;AvgLifeSpan;AvgChildren
0;5;100;5;0;10.00;0.00;0.00
1;5;100;5;0;13.20;0.00;0.00
2;5;100;5;0;19.20;0.00;0.00
3;5;100;5;0;25.20;0.00;0.00
4;5;100;5;0;31.20;0.00;0.00
5;5;100;5;0;37.00;0.00;0.00
6;5;100;5;0;42.80;0.00;0.00
7;5;100;5;0;48.60;0.00;0.00
8;5;100;5;0;53.00;0.00;0.00
9;5;100;5;0;57.40;0.00;0.00
10;5;100;1;0;61.80;0.00;0.00
11;5;100;1;0;66.20;0.00;0.00
12;5;100;1;0;72.00;0.00;0.00
13;5;100;1;0;77.80;0.00;0.00
14;5;100;1;0;80.80;0.00;0.00
15;5;100;1;0;83.80;0.00;0.00
16;5;100;1;0;86.80;0.00;0.00
17;5;100;1;0;89.80;0.00;0.00
18;5;100;1;0;94.20;0.00;0.00
19;5;100;1;0;98.60;0.00;0.00
20;5;100;1;0;100.20;0.00;0.00
21;5;100;1;0;101.80;0.00;0.00
22;5;100;1;0;104.80;0.00;0.00
23;5;100;1;0;107.80;0.00;0.00
24;5;100;1;0;110.80;0.00;0.00
25;5;100;1;0;113.80;0.00;0.00
26;5;100;1;0;118.20;0.00;0.00
27;5;100;1;0;122.60;0.00;0.00
28;5;100;1;0;125.60;0.00;0.00
29;6;100;1;0;107.17;0.00;0.33
30;6;100;1;0;110.67;0.00;0.33
31;7;100;1;0;96.86;0.00;0.57
32;7;100;1;0;100.71;0.00;0.57
33;6;100;1;0;122.00;2.00;0.33
34;7;100;1;0;108.57;2.00;0.57
35;7;100;1;0;112.43;2.00;0.57
36;6;100;1;0;135.67;2.00;0.33
37;6;100;1;0;140.33;2.00;0.33
38;6;100;1;0;146.17;2.00;0.33
39;6;100;1;0;152.00;2.00;0.33
40;6;100;1;0;157.83;2.00;0.33
41;6;100;1;0;163.67;2.00;0.33
42;6;100;1;0;169.50;2.00;0.33
43;6;100;1;0;175.33;2.00;0.33
44;6;100;1;0;181.17;2.00;0.33
45;6;100;1;0;187.00;2.00;0.33
46;6;100;1;0;192.83;2.00;0.33
47;6;100;1;0;198.67;2.00;0.33
48;6;100;1;0;204.50;2.00;0.33
49;6;100;1;0;210.33;2.00;0.33
50;6;100;1;0;215.00;2.00;0.33
51;6;100;1;0;219.67;2.00;0.33
52;6;100;1;0;225.50;2.00;0.33
53;6;100;1;0;231.33;2.00;0.33
54;6;100;1;0;237.17;2.00;0.33
55;6;100;1;0;243.00;2.00;0.33
56;6;100;1;0;248.83;2.00;0.33
57;6;100;1;0;254.67;2.00;0.33
58;6;100;1;0;259.33;2.00;0.33
59;6;100;1;0;265.17;2.00;0.33
60;6;100;1;0;271.00;2.00;0.33
61;6;100;1;0;275.67;2.00;0.33
62;7;100;1;0;239.29;2.00;0.57
63;7;100;1;0;242.14;2.00;0.57
64;6;100;1;0;287.00;2.00;0.33
65;6;100;1;0;291.67;2.00;0.33
66;6;100;1;0;296.33;2.00;0.33
67;6;100;1;0;301.00;2.00;0.33
68;7;100;1;0;261.00;2.00;0.57
69;7;100;1;0;265.86;2.00;0.57
70;7;100;1;0;269.71;2.00;0.57
71;7;100;1;0;274.57;2.00;0.57
72;7;100;1;0;280.43;2.00;0.57
73;7;100;1;0;286.29;2.00;0.57
74;7;100;1;0;292.14;2.00;0.57
75;7;100;1;0;298.00;2.00;0.57
76;7;100;1;0;301.86;2.00;0.57
77;7;100;1;0;306.71;2.00;0.57
78;7;100;1;0;311.57;2.00;0.57
79;7;100;1;0;315.43;2.00;0.57
80;7;100;1;0;319.29;2.00;0.57
81;8;100;1;0;281.88;2.00;0.75
82;9;100;1;0;253.44;2.00;0.89
83;8;100;1;0;288.25;2.00;0.75
84;7;100;1;0;334.14;2.00;0.57
85;7;100;1;0;339.00;2.00;0.57
86;7;100;1;0;343.86;2.00;0.57
87;7;100;1;0;348.71;2.00;0.57
88;7;100;1;0;351.57;2.00;0.57
89;7;100;1;0;356.43;2.00;0.57
90;7;100;1;0;360.29;2.00;0.57
91;7;100;1;0;363.14;2.00;0.57
92;7;100;1;0;367.00;2.00;0.57
93;7;100;1;0;370.86;2.00;0.57
94;7;100;1;0;374.71;2.00;0.57
95;7;100;1;0;378.57;2.00;0.57
96;7;100;1;0;381.43;2.00;0.57
97;7;100;1;0;384.29;2.00;0.57
98;7;100;1;0;388.14;2.00;0.57
99;7;100;1;0;392.00;2.00;0.57
100;7;100;1;0;394.86;2.00;0.57
101;7;100;1;0;398.71;2.00;0.57
102;7;100;1;0;402.57;2.00;0.57
103;7;100;1;0;406.43;2.00;0.57
104;7;100;1;0;411.29;2.00;0.57
105;7;100;1;0;416.14;2.00;0.57
106;7;100;1;0;422.00;2.00;0.57
107;7;100;1;0;426.86;2.00;0.57
108;7;100;1;0;431.71;2.00;0.57
109;7;100;1;0;437.57;2.00;0.57
110;7;100;1;0;442.43;2.00;0.57
111;7;100;1;0;447.29;2.00;0.57
112;7;100;1;0;453.14;2.00;0.57
113;7;100;1;0;459.00;2.00;0.57
114;7;100;1;0;463.86;2.00;0.57
115;7;100;1;0;468.71;2.00;0.57
116;7;100;1;0;474.57;2.00;0.57
117;7;100;1;0;480.43;2.00;0.57
118;7;100;1;0;486.29;2.00;0.57
119;7;100;1;0;492.14;2.00;0.57
120;7;100;1;0;498.00;2.00;0.57
121;7;100;1;0;502.86;2.00;0.57
122;8;100;1;0;443.38;2.00;0.75
123;8;100;1;0;446.63;2.00;0.75
124;7;100;1;0;514.14;2.00;0.57
125;7;100;1;0;518.00;2.00;0.57
126;8;100;1;0;455.75;2.00;0.75
127;8;100;1;0;459.00;2.00;0.75
128;7;100;1;0;529.29;2.00;0.57
129;7;100;1;0;534.14;2.00;0.57
130;7;100;1;0;538.00;2.00;0.57
131;7;100;1;0;542.86;2.00;0.57
132;7;100;1;0;548.71;2.00;0.57
133;7;100;1;0;554.57;2.00;0.57
134;7;100;1;0;560.43;2.00;0.57
135;7;100;1;0;566.29;2.00;0.57
136;8;100;1;0;499.75;2.00;0.75
137;8;100;1;0;503.00;2.00;0.75
138;7;100;1;0;578.57;2.00;0.57
139;8;100;1;0;510.50;2.00;0.75
140;8;100;1;0;514.63;2.00;0.75
141;7;100;1;0;592.86;2.00;0.57
142;7;100;1;0;598.71;2.00;0.57
143;7;100;1;0;604.57;2.00;0.57
144;7;100;1;0;608.43;2.00;0.57
145;7;100;1;0;612.29;2.00;0.57
146;7;100;1;0;616.14;2.00;0.57
147;7;100;1;0;620.00;2.00;0.57
148;7;100;1;0;624.86;2.00;0.57
149;7;100;1;0;629.71;2.00;0.57
150;7;100;1;0;633.57;2.00;0.57
151;7;100;1;0;636.43;2.00;0.57
152;7;100;1;0;639.29;2.00;0.57
153;7;100;1;0;642.14;2.00;0.57
154;8;100;1;0;565.25;2.00;0.75
155;8;100;1;0;568.50;2.00;0.75
156;7;100;1;0;653.43;2.00;0.57
157;7;100;1;0;657.29;2.00;0.57
158;7;100;1;0;662.14;2.00;0.57
159;7;100;1;0;667.00;2.00;0.57
160;7;100;1;0;671.86;2.00;0.57
161;7;100;1;0;677.71;2.00;0.57
162;8;100;1;0;597.25;2.00;0.75
163;8;100;1;0;601.38;2.00;0.75
164;7;100;1;0;692.00;2.00;0.57
165;7;100;1;0;696.86;2.00;0.57
166;7;100;1;0;702.71;2.00;0.57
167;7;100;1;0;708.57;2.00;0.57
168;7;100;1;0;714.43;2.00;0.57
169;7;100;1;0;720.29;2.00;0.57
170;7;100;1;0;725.14;2.00;0.57
171;7;100;1;0;730.00;2.00;0.57
172;7;100;1;0;735.86;2.00;0.57
173;7;100;1;0;741.71;2.00;0.57
174;7;100;1;0;746.57;2.00;0.57
175;7;100;1;0;751.43;2.00;0.57
176;7;100;1;0;756.29;2.00;0.57
177;7;100;1;0;761.14;2.00;0.57
178;7;100;1;0;767.00;2.00;0.57
179;7;100;1;0;772.86;2.00;0.57
180;7;100;1;0;778.71;2.00;0.57
181;7;100;1;0;784.57;2.00;0.57
182;7;100;1;0;788.43;2.00;0.57
183;7;100;1;0;792.29;2.00;0.57
184;7;100;1;0;798.14;2.00;0.57
185;7;100;1;0;804.00;2.00;0.57
186;8;100;1;0;706.88;2.00;0.75
187;8;100;1;0;711.00;2.00;0.75
188;7;100;1;0;818.29;2.00;0.57
189;7;100;1;0;824.14;2.00;0.57
190;7;100;1;0;830.00;2.00;0.57
191;7;100;1;0;835.86;2.00;0.57
192;7;100;1;0;841.71;2.00;0.57
193;7;100;1;0;847.57;2.00;0.57
194;7;100;1;0;853.43;2.00;0.57
195;7;100;1;0;859.29;2.00;0.57
196;7;100;1;0;865.14;2.00;0.57
197;7;100;1;0;871.00;2.00;0.57
198;7;100;1;0;876.86;2.00;0.57
199;7;100;1;0;882.71;2.00;0.57
200;7;100;1;0;887.57;2.00;0.57
201;7;100;1;0;891.43;2.00;0.57
202;8;100;1;0;783.38;2.00;0.75
203;8;100;1;0;786.63;2.00;0.75
204;7;100;1;0;901.71;2.00;0.57
205;7;100;1;0;904.57;2.00;0.57
206;7;100;1;0;907.43;2.00;0.57
207;7;100;1;0;909.29;2.00;0.57
208;7;100;1;0;913.14;2.00;0.57
209;7;100;1;0;917.00;2.00;0.57
210;7;100;1;0;919.86;2.00;0.57
211;7;100;1;0;923.71;2.00;0.57
212;7;100;1;0;928.57;2.00;0.57
213;7;100;1;0;933.43;2.00;0.57
214;7;100;1;0;938.29;2.00;0.57
215;7;100;1;0;943.14;2.00;0.57
216;8;100;1;0;829.50;2.00;0.75
217;8;100;1;0;835.38;2.00;0.75
218;8;100;1;0;840.38;2.00;0.75
219;8;100;1;0;845.38;2.00;0.75
220;8;100;1;0;850.38;2.00;0.75
221;8;100;1;0;855.38;2.00;0.75
222;8;100;1;0;860.38;2.00;0.75
223;8;100;1;0;865.38;2.00;0.75
224;8;100;1;0;869.50;2.00;0.75
225;8;100;1;0;873.63;2.00;0.75
226;8;100;1;0;878.63;2.00;0.75
227;8;100;1;0;883.63;2.00;0.75
228;8;100;1;0;888.63;2.00;0.75
229;8;100;1;0;893.63;2.00;0.75
230;8;100;1;0;897.75;2.00;0.75
231;8;100;1;0;901.88;2.00;0.75
232;9;100;1;0;804.56;2.00;0.89
233;9;100;1;0;807.33;2.00;0.89
234;8;100;1;0;913.13;2.00;0.75
235;8;100;1;0;918.13;2.00;0.75
236;8;100;1;0;921.38;2.00;0.75
237;8;100;1;0;924.63;2.00;0.75
238;8;100;1;0;929.63;2.00;0.75
239;7;100;1;0;1068.14;3.40;0.57
240;7;100;1;0;1074.00;3.40;0.57
241;7;100;1;0;1079.86;3.40;0.57
242;9;100;1;0;842.89;3.40;0.89
243;9;100;1;0;845.67;3.40;0.89
244;7;100;1;0;1092.86;3.24;0.57
245;7;100;1;0;1098.71;3.24;0.57
246;7;100;1;0;1104.57;3.24;0.57
247;7;100;1;0;1110.43;3.24;0.57
248;7;100;1;0;1116.29;3.24;0.57
249;7;100;1;0;1122.14;3.24;0.57
250;7;100;1;0;1127.00;3.24;0.57
251;7;100;1;0;1131.86;3.24;0.57
252;8;100;1;0;994.63;3.24;0.75
253;9;100;1;0;888.56;3.24;0.89
254;10;100;1;0;803.60;3.24;1.00
255;10;100;1;0;807.40;3.24;1.00
256;9;100;1;0;902.11;3.17;0.89
257;10;100;1;0;815.80;3.17;1.00
258;10;100;1;0;820.30;3.17;1.00
259;9;100;1;0;916.44;3.11;0.89
260;9;100;1;0;920.78;3.11;0.89
261;9;100;1;0;925.11;3.11;0.89
262;10;100;1;0;835.80;3.11;1.00
263;10;100;1;0;838.20;3.11;1.00
264;9;100;1;0;934.00;3.05;0.89
265;9;100;1;0;936.78;3.05;0.89
266;9;100;1;0;940.33;3.05;0.89
267;10;100;1;0;849.50;3.05;1.00
268;11;100;1;0;776.36;3.05;1.09
269;11;100;1;0;781.64;3.05;1.09
270;11;100;1;0;786.91;3.05;1.09
271;12;100;1;0;725.58;3.05;1.17
272;12;100;1;0;729.17;3.05;1.17
273;11;100;1;0;800.00;3.00;1.09
274;12;100;1;0;737.58;3.00;1.17
275;13;100;1;0;685.23;3.00;1.23
276;14;100;1;0;639.79;3.00;1.29
277;14;100;1;0;642.21;2.95;1.29
278;14;100;1;0;645.64;2.91;1.29
279;14;100;1;0;649.07;2.88;1.29
280;15;100;1;0;609.47;2.84;1.33
281;15;100;1;0;613.07;2.84;1.33
282;15;100;1;0;616.20;2.78;1.33
283;16;100;1;0;581.06;2.78;1.38
284;15;99;1;0;623.80;2.72;1.33
285;17;99;1;0;553.59;2.70;1.41
286;18;98;1;0;526.11;2.70;1.44
287;18;98;1;0;528.94;2.66;1.44
288;19;96;1;0;504.53;2.64;1.47
289;18;94;1;1;536.11;2.62;1.44
290;16;93;1;1;606.75;2.58;1.38
291;17;97;1;0;572.53;2.58;1.41
292;17;96;1;0;576.00;2.58;1.41
293;17;98;1;0;578.24;2.57;1.41
294;18;96;1;1;549.78;2.57;1.44
295;20;96;1;2;497.35;2.57;1.50
296;20;95;1;1;500.15;2.55;1.50
297;19;93;1;2;529.79;2.53;1.47
298;20;91;1;1;506.50;2.51;1.50
299;21;90;1;2;485.05;2.50;1.52
300;21;89;1;6;487.67;2.49;1.52
301;23;89;1;4;447.35;2.48;1.57
302;24;88;1;4;430.92;2.47;1.58
303;25;90;1;3;414.92;2.45;1.60
304;26;89;1;4;400.92;2.43;1.62
305;26;89;1;3;402.58;2.40;1.62
306;24;86;1;4;438.79;2.47;1.54
307;22;86;1;6;480.73;2.45;1.55
308;23;83;1;9;462.78;2.44;1.57
309;23;82;1;9;465.09;2.43;1.57
310;22;83;1;6;488.00;2.42;1.55
311;22;84;1;7;489.82;2.81;1.50
312;21;82;1;10;516.05;2.80;1.48
313;20;83;1;10;543.90;2.78;1.45
314;22;83;1;8;496.68;2.78;1.50
315;23;87;1;4;475.91;2.78;1.52
316;22;88;1;7;499.32;2.76;1.50
317;25;89;1;5;441.00;2.76;1.56
318;28;89;1;4;395.32;2.76;1.61
319;27;90;1;1;411.22;2.73;1.59
320;27;91;1;3;412.52;2.70;1.59
321;26;92;1;3;429.73;2.68;1.58
322;27;90;1;4;415.93;2.65;1.59
323;25;91;1;3;450.60;2.85;1.56
324;21;91;1;2;538.52;2.87;1.52
325;22;92;1;2;515.91;2.86;1.55
326;23;90;1;3;496.13;2.85;1.57
327;25;91;1;1;458.00;2.83;1.60
328;26;90;1;2;442.35;2.82;1.62
329;24;89;1;3;481.29;2.79;1.58
330;22;88;1;5;527.41;2.77;1.55
331;22;89;1;4;529.23;2.76;1.55
332;25;89;1;4;467.60;2.76;1.60
333;25;90;1;4;469.08;2.75;1.60
334;27;90;1;3;435.96;2.74;1.63
335;29;90;1;2;407.34;2.73;1.66
336;29;90;1;1;408.72;2.70;1.66
337;28;91;1;2;424.50;2.68;1.64
338;24;88;1;3;497.83;2.70;1.54
339;24;88;1;4;499.71;2.73;1.54
340;24;88;1;3;501.58;2.72;1.54
341;24;90;1;3;502.88;2.71;1.54
342;26;88;1;5;466.46;2.71;1.58
343;25;90;1;5;486.28;2.70;1.56
344;26;89;1;5;469.54;2.69;1.58
345;26;90;1;4;470.92;2.68;1.58
346;25;88;1;5;492.04;2.66;1.56
347;27;87;1;6;457.48;2.66;1.59
348;26;86;1;5;476.96;2.65;1.58
349;26;87;1;5;478.35;2.63;1.58
350;27;85;1;6;462.74;2.63;1.59
351;25;85;1;5;501.44;2.62;1.56
352;26;84;1;7;484.12;2.61;1.58
353;26;85;1;4;485.50;2.61;1.58
354;27;84;1;5;469.37;2.60;1.59
